qudos,1843.57
tcba,2878.4
vodafonenz,8745.15
vfmc,355.24
auswide,320.12
intellihub,104.92
apagroup,3514.26
nspcc,2015.09
ttgroup,400.1
swick,71.07
chw,360
cusa,299.18
goodmanfielder,54.24
idemitsu,614.73
rbnz,1429.27
silk,549.91
stowe,1010.81
ttline,558.91
wise,2917.26
enstar,1749.73
toowoombarc,3954.7
nzwaste,667.21
villamaria,124.76
dulux,3866.6
ipswichcc,1464.6
rfg,287.43
ccu,105.65
dairyfarm,11545.59
ir,114.41
endeavour,2708.87
telstrasuper,996.91
